,optimal,"""optimal"""
361,"(2757.641203629766, 1)","(2757.641203629766, 1)"
362,"(2754.044081327608, 1)","(2754.044081327608, 1)"
363,"(2750.4208929218116, 1)","(2750.4208929218116, 1)"
364,"(2746.771257885316, 1)","(2746.771257885316, 1)"
365,"(2743.0947872970814, 1)","(2743.0947872970814, 1)"
366,"(2739.3910835933784, 1)","(2739.3910835933784, 1)"
367,"(2735.659740309797, 1)","(2735.659740309797, 1)"
368,"(2731.900341813557, 1)","(2731.900341813557, 1)"
369,"(2728.112463025679, 1)","(2728.112463025679, 1)"
370,"(2724.2956691325503, 1)","(2724.2956691325503, 1)"
371,"(2720.4495152863974, 1)","(2720.4495152863974, 1)"
372,"(2716.5735462941498, 1)","(2716.5735462941498, 1)"
373,"(2712.6672962941507, 1)","(2712.6672962941507, 1)"
374,"(2708.730288420136, 1)","(2708.730288420136, 1)"
375,"(2704.7620344518823, 1)","(2704.7620344518823, 1)"
376,"(2700.762034451883, 1)","(2700.762034451883, 1)"
377,"(2696.729776387368, 1)","(2696.729776387368, 1)"
378,"(2692.664735736962, 1)","(2692.664735736962, 1)"
379,"(2688.5663750812255, 1)","(2688.5663750812255, 1)"
380,"(2684.434143676268, 1)","(2684.434143676268, 1)"
381,"(2680.2674770096023, 1)","(2680.2674770096023, 1)"
382,"(2676.065796337334, 1)","(2676.065796337334, 1)"
383,"(2671.828508201742, 1)","(2671.828508201742, 1)"
384,"(2667.5550039282384, 1)","(2667.5550039282384, 1)"
385,"(2663.2446591006533, 1)","(2663.2446591006533, 1)"
386,"(2658.8968330136977, 1)","(2658.8968330136977, 1)"
387,"(2654.510868101418, 1)","(2654.510868101418, 1)"
388,"(2650.086089340357, 1)","(2650.086089340357, 1)"
389,"(2645.621803626072, 1)","(2645.621803626072, 1)"
390,"(2641.1172991215685, 1)","(2641.1172991215685, 1)"
391,"(2636.571844576115, 1)","(2636.571844576115, 1)"
392,"(2631.984688612813, 1)","(2631.984688612813, 1)"
393,"(2627.3550589831843, 1)","(2627.3550589831843, 1)"
394,"(2622.682161786923, 1)","(2622.682161786923, 1)"
395,"(2617.965180654849, 1)","(2617.965180654849, 1)"
396,"(2613.2032758929454, 1)","(2613.2032758929454, 1)"
397,"(2608.3955835852544, 1)","(2608.3955835852544, 1)"
398,"(2603.5412146532167, 1)","(2603.5412146532167, 1)"
399,"(2598.639253868904, 1)","(2598.639253868904, 1)"
400,"(2593.6887588194, 1)","(2593.6887588194, 1)"
401,"(2588.688758819401, 1)","(2588.688758819401, 1)"
402,"(2583.638253768897, 1)","(2583.638253768897, 1)"
403,"(2578.536212952571, 1)","(2578.536212952571, 1)"
404,"(2573.3815737773148, 1)","(2573.3815737773148, 1)"
405,"(2568.1732404439826, 1)","(2568.1732404439826, 1)"
406,"(2562.910082549247, 1)","(2562.910082549247, 1)"
407,"(2557.590933613078, 1)","(2557.590933613078, 1)"
408,"(2552.2145895270573, 1)","(2552.2145895270573, 1)"
409,"(2546.7798069183623, 1)","(2546.7798069183623, 1)"
410,"(2541.285301423858, 1)","(2541.285301423858, 1)"
411,"(2535.729745868304, 1)","(2535.729745868304, 1)"
