,dynamic-RLS-opt,T[dynamic-RLS-opt],dynamic-RLS-drift,T[dynamic-RLS-drift],dynamic-(1+1){>0}-p-opt,T[dynamic-(1+1){>0}-p-opt],dynamic-(1+1){>0}-p-drift,T[dynamic-(1+1){>0}-p-drift],dynamic-(1+1)-p-opt,T[dynamic-(1+1)-p-opt],dynamic-(1+1)-p-drift,T[dynamic-(1+1)-p-drift],dynamic-(1+1)-Baeck,T[dynamic-(1+1)-Baeck],static-RLS-1,T[static-RLS-1],static-(1+1)-1/n,T[static-(1+1)-1/n],old-1+1{>0},T[old-1+1{>0}]
217,500,2957.223353800432,500,2957.239712676046,1.0,2968.84459343323,1.0,2970.2946548425966,1.0,7170.8210912881505,1.0,7170.853250996112,1.0,7178.929072192132,1,3112.2141532441206,0.002,7599.355088763363,0.002,4806.506563986776
216,500,2955.955266214957,500,2955.9694426113615,1.0,2967.5380228652202,1.0,2968.9867047302473,1.0,7169.514520719185,1.0,7169.5453008752775,1.0,7177.400541723121,1,3113.9747166244015,0.002,7601.803985119781,0.002,4808.055463370233
215,500,2954.649001653385,500,2954.6641347859627,1.0,2966.1890023192573,1.0,2967.636397981799,1.0,7168.165500174928,1.0,7168.194994135392,1.0,7175.833690840636,1,3115.7291025893137,0.002,7604.239820190823,0.002,4809.5961016376905
214,500,2953.3036295406873,500,2953.316128775911,1.0,2964.7974501667463,1.0,2966.243650143273,1.0,7166.773948028031,1.0,7166.802246311053,1.0,7174.228452648048,1,3117.477354337565,0.002,7606.6627009353,0.002,4811.128546439398
213,500,2951.920302026297,500,2951.937300891866,1.0,2963.3632773929,1.0,2964.8083610269064,1.0,7165.339775268522,1.0,7165.366957168136,1.0,7172.584746347253,1,3119.2195146163103,0.002,7609.0727331260305,0.002,4812.652864675469
212,500,2950.500391415573,500,2950.5076923571933,1.0,2961.886387745162,1.0,2963.330432499294,1.0,7163.862885652088,1.0,7163.889028672684,1.0,7170.902478032996,1,3120.9556257274207,0.002,7611.470021366673,0.002,4814.169122506536
211,500,2949.0380828426096,500,2949.047480557096,1.0,2960.366677874701,1.0,2961.8097527688387,1.0,7162.343175837543,1.0,7162.368349020607,1.0,7169.1815413887625,1,3122.6857295336486,0.002,7613.854669108288,0.002,4815.677385364239
210,500,2947.5419225654928,500,2947.5550683186502,1.0,2958.80403746827,1.0,2960.24620816464,1.0,7160.780535511631,1.0,7160.804804615447,1.0,7167.421818297157,1,3124.4098674646825,0.002,7616.226778665598,0.002,4817.177717961484
209,500,2946.008458801945,500,2946.013366915678,1.0,2957.1983493788075,1.0,2958.6396697221057,1.0,7159.174847500211,1.0,7159.1982653842915,1.0,7165.623179376035,1,3126.1280805231017,0.002,7618.586451232959,0.002,4818.67018430256
208,500,2944.432998337064,500,2944.437006928783,1.0,2955.549489746317,1.0,2956.990007591853,1.0,7157.525987865383,1.0,7157.548604760795,1.0,7163.785484449464,1,3127.8404092902247,0.002,7620.93378690007,0.002,4820.154847693079
207,500,2942.823432412902,500,2942.828915269931,1.0,2953.8573281618283,1.0,2955.2970958137307,1.0,7155.8338259885495,1.0,7155.855692976802,1.0,7161.908582961546,1,3129.5468939318625,0.002,7623.268884667401,0.002,4821.631770749724
206,500,2941.1786632315466,500,2941.1866059083845,1.0,2952.1217278059457,1.0,2953.5607917921457,1.0,7154.098224639629,1.0,7154.119388584362,1.0,7159.992314339679,1,3131.247574203971,0.002,7625.591842461371,0.002,4823.101015409852
205,500,2939.494467437478,500,2939.496444757553,1.0,2950.3425456605164,1.0,2951.7809469948584,1.0,7152.319040032841,1.0,7152.3395415329005,1.0,7158.0365083129855,1,3132.942489458208,0.002,7627.902757149247,0.002,4824.5626429409185
204,500,2937.771219121225,500,2937.773284311602,1.0,2948.519632737294,1.0,2949.9573999865615,1.0,7150.496121869476,1.0,7150.515991096792,1.0,7156.040985190832,1,3134.6316786473967,0.002,7630.201724553807,0.002,4826.016713949753
203,500,2936.0138487605495,500,2936.0153888042296,1.0,2946.6528343985583,1.0,2948.090015565441,1.0,7148.62931336828,1.0,7148.648599210933,1.0,7154.00555610563,1,3136.315180330898,0.002,7632.488839467737,0.002,4827.463288391665
202,500,2934.222340755374,500,2934.224805287593,1.0,2944.7419907065264,1.0,2946.178607726356,1.0,7146.718451283905,1.0,7146.737173680541,1.0,7151.930023223569,1,3137.993032679891,0.002,7634.764195667806,0.002,4828.902425579401
201,500,2932.3945848677627,500,2932.3985127783026,1.0,2942.7869368891215,1.0,2944.2230255595364,1.0,7144.763365913939,1.0,7144.781563895801,1.0,7149.814179926446,1,3139.6652734825657,0.002,7637.02788592878,0.002,4830.334184191955
200,500,2930.5259063251137,500,2930.5259063251137,1.0,2940.7875038788793,1.0,2942.223086821015,1.0,7142.763881095068,1.0,7142.781576768823,1.0,7147.657810967293,1,3141.331940149232,0.002,7639.280002037107,0.002,4831.758622283229
199,500,2928.62103337074,500,2928.62103337074,1.0,2938.743518935302,1.0,2940.1786245460257,1.0,7140.71981418875,1.0,7140.737038253727,1.0,7145.460692602301,1,3142.9930697173377,0.002,7641.5206348043885,0.002,4833.1757972905325
