,#bit11,#bit10,#bit9,#bit8,#bit7,#bit6,#bit5,#bit4,#bit3,#bit2,#bit1,Expected Time,k-opt
Expected Time General,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.479788694332285,All
1751,1,1,0,1,1,0,1,0,1,1,1,20.16666666666668,1
1750,1,1,0,1,1,0,1,0,1,1,0,22.91666666666668,1
1749,1,1,0,1,1,0,1,0,1,0,1,22.91666666666668,1
1748,1,1,0,1,1,0,1,0,1,0,0,25.11666666666668,1
1747,1,1,0,1,1,0,1,0,0,1,1,22.91666666666668,1
1746,1,1,0,1,1,0,1,0,0,1,0,25.11666666666668,1
1745,1,1,0,1,1,0,1,0,0,0,1,25.11666666666668,1
1744,1,1,0,1,1,0,1,0,0,0,0,26.583333333333346,2
1743,1,1,0,1,1,0,0,1,1,1,1,20.16666666666668,1
1742,1,1,0,1,1,0,0,1,1,1,0,22.91666666666668,1
1741,1,1,0,1,1,0,0,1,1,0,1,22.91666666666668,1
1740,1,1,0,1,1,0,0,1,1,0,0,25.11666666666668,1
1739,1,1,0,1,1,0,0,1,0,1,1,22.91666666666668,1
1738,1,1,0,1,1,0,0,1,0,1,0,25.11666666666668,1
1737,1,1,0,1,1,0,0,1,0,0,1,25.11666666666668,1
1736,1,1,0,1,1,0,0,1,0,0,0,26.583333333333346,2
1735,1,1,0,1,1,0,0,0,1,1,1,22.91666666666668,1
1734,1,1,0,1,1,0,0,0,1,1,0,25.11666666666668,1
1733,1,1,0,1,1,0,0,0,1,0,1,25.11666666666668,1
1732,1,1,0,1,1,0,0,0,1,0,0,26.583333333333346,2
1731,1,1,0,1,1,0,0,0,0,1,1,25.11666666666668,1
1730,1,1,0,1,1,0,0,0,0,1,0,26.583333333333343,2
1729,1,1,0,1,1,0,0,0,0,0,1,26.58333333333334,2
1728,1,1,0,1,1,0,0,0,0,0,0,27.36904761904764,3
1727,1,1,0,1,0,1,1,1,1,1,1,16.50000000000001,1
1726,1,1,0,1,0,1,1,1,1,1,0,20.16666666666668,1
1725,1,1,0,1,0,1,1,1,1,0,1,20.16666666666668,1
1724,1,1,0,1,0,1,1,1,1,0,0,22.91666666666668,1
1723,1,1,0,1,0,1,1,1,0,1,1,20.16666666666668,1
1722,1,1,0,1,0,1,1,1,0,1,0,22.91666666666668,1
1721,1,1,0,1,0,1,1,1,0,0,1,22.91666666666668,1
1720,1,1,0,1,0,1,1,1,0,0,0,25.11666666666668,1
1719,1,1,0,1,0,1,1,0,1,1,1,20.16666666666668,1
1718,1,1,0,1,0,1,1,0,1,1,0,22.91666666666668,1
1717,1,1,0,1,0,1,1,0,1,0,1,22.91666666666668,1
1716,1,1,0,1,0,1,1,0,1,0,0,25.11666666666668,1
1715,1,1,0,1,0,1,1,0,0,1,1,22.91666666666668,1
1714,1,1,0,1,0,1,1,0,0,1,0,25.11666666666668,1
1713,1,1,0,1,0,1,1,0,0,0,1,25.11666666666668,1
1712,1,1,0,1,0,1,1,0,0,0,0,26.583333333333346,2
1711,1,1,0,1,0,1,0,1,1,1,1,20.16666666666668,1
1710,1,1,0,1,0,1,0,1,1,1,0,22.91666666666668,1
1709,1,1,0,1,0,1,0,1,1,0,1,22.91666666666668,1
1708,1,1,0,1,0,1,0,1,1,0,0,25.11666666666668,1
1707,1,1,0,1,0,1,0,1,0,1,1,22.91666666666668,1
1706,1,1,0,1,0,1,0,1,0,1,0,25.11666666666668,1
1705,1,1,0,1,0,1,0,1,0,0,1,25.11666666666668,1
1704,1,1,0,1,0,1,0,1,0,0,0,26.583333333333346,2
1703,1,1,0,1,0,1,0,0,1,1,1,22.91666666666668,1
1702,1,1,0,1,0,1,0,0,1,1,0,25.11666666666668,1
1701,1,1,0,1,0,1,0,0,1,0,1,25.11666666666668,1
1700,1,1,0,1,0,1,0,0,1,0,0,26.562089436992128,3
1699,1,1,0,1,0,1,0,0,0,1,1,25.11666666666668,1
1698,1,1,0,1,0,1,0,0,0,1,0,26.53458439696015,3
1697,1,1,0,1,0,1,0,0,0,0,1,26.53458439696015,3
1696,1,1,0,1,0,1,0,0,0,0,0,27.213447884587044,4
1695,1,1,0,1,0,0,1,1,1,1,1,20.16666666666668,1
1694,1,1,0,1,0,0,1,1,1,1,0,22.91666666666668,1
1693,1,1,0,1,0,0,1,1,1,0,1,22.91666666666668,1
1692,1,1,0,1,0,0,1,1,1,0,0,25.11666666666668,1
1691,1,1,0,1,0,0,1,1,0,1,1,22.91666666666668,1
1690,1,1,0,1,0,0,1,1,0,1,0,25.11666666666668,1
1689,1,1,0,1,0,0,1,1,0,0,1,25.11666666666668,1
1688,1,1,0,1,0,0,1,1,0,0,0,26.546699848262556,3
1687,1,1,0,1,0,0,1,0,1,1,1,22.91666666666668,1
1686,1,1,0,1,0,0,1,0,1,1,0,25.11666666666668,1
1685,1,1,0,1,0,0,1,0,1,0,1,25.11666666666668,1
1684,1,1,0,1,0,0,1,0,1,0,0,26.495148758789927,3
1683,1,1,0,1,0,0,1,0,0,1,1,25.11666666666668,1
1682,1,1,0,1,0,0,1,0,0,1,0,26.470748294869,3
1681,1,1,0,1,0,0,1,0,0,0,1,26.470748294869,3
1680,1,1,0,1,0,0,1,0,0,0,0,27.06957525020107,4
1679,1,1,0,1,0,0,0,1,1,1,1,22.91666666666668,1
1678,1,1,0,1,0,0,0,1,1,1,0,25.11666666666668,1
1677,1,1,0,1,0,0,0,1,1,0,1,25.11666666666668,1
1676,1,1,0,1,0,0,0,1,1,0,0,26.457450559277294,3
1675,1,1,0,1,0,0,0,1,0,1,1,25.11666666666668,1
