,#bit11,#bit10,#bit9,#bit8,#bit7,#bit6,#bit5,#bit4,#bit3,#bit2,#bit1,Expected Time,k-opt
Expected Time General,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.479788694332285,All
879,0,1,1,0,1,1,0,1,1,1,1,20.16666666666668,1
878,0,1,1,0,1,1,0,1,1,1,0,22.91666666666668,1
877,0,1,1,0,1,1,0,1,1,0,1,22.91666666666668,1
876,0,1,1,0,1,1,0,1,1,0,0,25.11666666666668,1
875,0,1,1,0,1,1,0,1,0,1,1,22.91666666666668,1
874,0,1,1,0,1,1,0,1,0,1,0,25.11666666666668,1
873,0,1,1,0,1,1,0,1,0,0,1,25.11666666666668,1
872,0,1,1,0,1,1,0,1,0,0,0,25.051674166354413,8
871,0,1,1,0,1,1,0,0,1,1,1,22.91666666666668,1
870,0,1,1,0,1,1,0,0,1,1,0,25.11666666666668,1
869,0,1,1,0,1,1,0,0,1,0,1,25.11666666666668,1
868,0,1,1,0,1,1,0,0,1,0,0,25.052565054573503,8
867,0,1,1,0,1,1,0,0,0,1,1,25.11666666666668,1
866,0,1,1,0,1,1,0,0,0,1,0,25.052902318119006,8
865,0,1,1,0,1,1,0,0,0,0,1,25.052902318119006,8
864,0,1,1,0,1,1,0,0,0,0,0,23.91666666666668,11
863,0,1,1,0,1,0,1,1,1,1,1,20.16666666666668,1
862,0,1,1,0,1,0,1,1,1,1,0,22.91666666666668,1
861,0,1,1,0,1,0,1,1,1,0,1,22.91666666666668,1
860,0,1,1,0,1,0,1,1,1,0,0,25.11666666666668,1
859,0,1,1,0,1,0,1,1,0,1,1,22.91666666666668,1
858,0,1,1,0,1,0,1,1,0,1,0,25.11666666666668,1
857,0,1,1,0,1,0,1,1,0,0,1,25.11666666666668,1
856,0,1,1,0,1,0,1,1,0,0,0,25.058159471030887,8
855,0,1,1,0,1,0,1,0,1,1,1,22.91666666666668,1
854,0,1,1,0,1,0,1,0,1,1,0,25.102305389277245,3
853,0,1,1,0,1,0,1,0,1,0,1,25.102305389277245,3
852,0,1,1,0,1,0,1,0,1,0,0,25.05864329660638,8
851,0,1,1,0,1,0,1,0,0,1,1,25.101851530110928,3
850,0,1,1,0,1,0,1,0,0,1,0,25.058992781494943,8
849,0,1,1,0,1,0,1,0,0,0,1,25.058992781494943,8
848,0,1,1,0,1,0,1,0,0,0,0,23.91666666666668,11
847,0,1,1,0,1,0,0,1,1,1,1,22.91666666666668,1
846,0,1,1,0,1,0,0,1,1,1,0,25.072867533612296,3
845,0,1,1,0,1,0,0,1,1,0,1,25.072867533612296,3
844,0,1,1,0,1,0,0,1,1,0,0,25.06105146033449,8
843,0,1,1,0,1,0,0,1,0,1,1,25.072548885271843,3
842,0,1,1,0,1,0,0,1,0,1,0,25.06143273399336,8
841,0,1,1,0,1,0,0,1,0,0,1,25.06143273399336,8
840,0,1,1,0,1,0,0,1,0,0,0,23.91666666666668,11
839,0,1,1,0,1,0,0,0,1,1,1,25.071893712584668,3
838,0,1,1,0,1,0,0,0,1,1,0,25.062674825803104,8
837,0,1,1,0,1,0,0,0,1,0,1,25.062674825803104,8
836,0,1,1,0,1,0,0,0,1,0,0,23.91666666666668,11
835,0,1,1,0,1,0,0,0,0,1,1,25.063282500794013,8
834,0,1,1,0,1,0,0,0,0,1,0,23.91666666666668,11
833,0,1,1,0,1,0,0,0,0,0,1,23.91666666666668,11
832,0,1,1,0,1,0,0,0,0,0,0,21.16666666666668,11
831,0,1,1,0,0,1,1,1,1,1,1,20.16666666666668,1
830,0,1,1,0,0,1,1,1,1,1,0,22.91666666666668,1
829,0,1,1,0,0,1,1,1,1,0,1,22.91666666666668,1
828,0,1,1,0,0,1,1,1,1,0,0,25.096122234335283,3
827,0,1,1,0,0,1,1,1,0,1,1,22.91666666666668,1
826,0,1,1,0,0,1,1,1,0,1,0,25.06919776001316,3
825,0,1,1,0,0,1,1,1,0,0,1,25.06919776001316,3
824,0,1,1,0,0,1,1,1,0,0,0,25.070822772749256,8
823,0,1,1,0,0,1,1,0,1,1,1,22.91666666666668,1
822,0,1,1,0,0,1,1,0,1,1,0,25.043140472050805,3
821,0,1,1,0,0,1,1,0,1,0,1,25.043140472050805,3
820,0,1,1,0,0,1,1,0,1,0,0,25.07144176334986,8
819,0,1,1,0,0,1,1,0,0,1,1,25.043583876429082,3
818,0,1,1,0,0,1,1,0,0,1,0,25.07166047428524,8
817,0,1,1,0,0,1,1,0,0,0,1,25.07166047428524,8
816,0,1,1,0,0,1,1,0,0,0,0,23.91666666666668,11
815,0,1,1,0,0,1,0,1,1,1,1,22.91666666666668,1
814,0,1,1,0,0,1,0,1,1,1,0,25.017869138364098,3
813,0,1,1,0,0,1,0,1,1,0,1,25.017869138364098,3
812,0,1,1,0,0,1,0,1,1,0,0,25.07353833056527,8
811,0,1,1,0,0,1,0,1,0,1,1,25.01835348073741,3
810,0,1,1,0,0,1,0,1,0,1,0,25.073782135899968,8
809,0,1,1,0,0,1,0,1,0,0,1,25.073782135899968,8
808,0,1,1,0,0,1,0,1,0,0,0,23.91666666666668,11
807,0,1,1,0,0,1,0,0,1,1,1,25.019141480683597,3
806,0,1,1,0,0,1,0,0,1,1,0,25.07496511721494,8
805,0,1,1,0,0,1,0,0,1,0,1,25.07496511721494,8
804,0,1,1,0,0,1,0,0,1,0,0,23.91666666666668,11
803,0,1,1,0,0,1,0,0,0,1,1,25.075434130191116,8
802,0,1,1,0,0,1,0,0,0,1,0,23.91666666666668,11
801,0,1,1,0,0,1,0,0,0,0,1,23.91666666666668,11
800,0,1,1,0,0,1,0,0,0,0,0,21.16666666666668,11
799,0,1,1,0,0,0,1,1,1,1,1,22.91666666666668,1
798,0,1,1,0,0,0,1,1,1,1,0,24.99471863260493,3
797,0,1,1,0,0,0,1,1,1,0,1,24.99471863260493,3
796,0,1,1,0,0,0,1,1,1,0,0,25.080082131314658,8
795,0,1,1,0,0,0,1,1,0,1,1,24.995460822845747,3
794,0,1,1,0,0,0,1,1,0,1,0,25.080454050886065,8
793,0,1,1,0,0,0,1,1,0,0,1,25.080454050886065,8
792,0,1,1,0,0,0,1,1,0,0,0,23.91666666666668,11
791,0,1,1,0,0,0,1,0,1,1,1,24.99685837591441,3
790,0,1,1,0,0,0,1,0,1,1,0,25.081292560181534,8
789,0,1,1,0,0,0,1,0,1,0,1,25.081292560181534,8
788,0,1,1,0,0,0,1,0,1,0,0,23.91666666666668,11
787,0,1,1,0,0,0,1,0,0,1,1,25.081891528574726,8
786,0,1,1,0,0,0,1,0,0,1,0,23.91666666666668,11
785,0,1,1,0,0,0,1,0,0,0,1,23.91666666666668,11
784,0,1,1,0,0,0,1,0,0,0,0,21.16666666666668,11
783,0,1,1,0,0,0,0,1,1,1,1,24.998014182481405,3
782,0,1,1,0,0,0,0,1,1,1,0,25.083877145277945,8
781,0,1,1,0,0,0,0,1,1,0,1,25.083877145277945,8
780,0,1,1,0,0,0,0,1,1,0,0,23.91666666666668,11
779,0,1,1,0,0,0,0,1,0,1,1,25.084498469218175,8
778,0,1,1,0,0,0,0,1,0,1,0,23.91666666666668,11
777,0,1,1,0,0,0,0,1,0,0,1,23.91666666666668,11
776,0,1,1,0,0,0,0,1,0,0,0,21.16666666666668,11
775,0,1,1,0,0,0,0,0,1,1,1,25.086239179016694,8
774,0,1,1,0,0,0,0,0,1,1,0,23.91666666666668,11
773,0,1,1,0,0,0,0,0,1,0,1,23.91666666666668,11
772,0,1,1,0,0,0,0,0,1,0,0,21.16666666666668,11
771,0,1,1,0,0,0,0,0,0,1,1,23.91666666666668,11
770,0,1,1,0,0,0,0,0,0,1,0,21.16666666666668,11
769,0,1,1,0,0,0,0,0,0,0,1,21.16666666666668,11
768,0,1,1,0,0,0,0,0,0,0,0,17.50000000000001,11
767,0,1,0,1,1,1,1,1,1,1,1,16.50000000000001,1
766,0,1,0,1,1,1,1,1,1,1,0,20.16666666666668,1
765,0,1,0,1,1,1,1,1,1,0,1,20.16666666666668,1
764,0,1,0,1,1,1,1,1,1,0,0,22.91666666666668,1
763,0,1,0,1,1,1,1,1,0,1,1,20.16666666666668,1
762,0,1,0,1,1,1,1,1,0,1,0,22.91666666666668,1
761,0,1,0,1,1,1,1,1,0,0,1,22.91666666666668,1
760,0,1,0,1,1,1,1,1,0,0,0,25.03472421016593,5
759,0,1,0,1,1,1,1,0,1,1,1,20.16666666666668,1
758,0,1,0,1,1,1,1,0,1,1,0,22.91666666666668,1
757,0,1,0,1,1,1,1,0,1,0,1,22.91666666666668,1
756,0,1,0,1,1,1,1,0,1,0,0,25.035150938257832,5
755,0,1,0,1,1,1,1,0,0,1,1,22.91666666666668,1
754,0,1,0,1,1,1,1,0,0,1,0,25.035285140911455,5
753,0,1,0,1,1,1,1,0,0,0,1,25.035285140911455,5
752,0,1,0,1,1,1,1,0,0,0,0,24.9960353318968,6
751,0,1,0,1,1,1,0,1,1,1,1,20.16666666666668,1
750,0,1,0,1,1,1,0,1,1,1,0,22.91666666666668,1
749,0,1,0,1,1,1,0,1,1,0,1,22.91666666666668,1
748,0,1,0,1,1,1,0,1,1,0,0,25.027028325967898,5
747,0,1,0,1,1,1,0,1,0,1,1,22.91666666666668,1
746,0,1,0,1,1,1,0,1,0,1,0,25.02706105640071,5
745,0,1,0,1,1,1,0,1,0,0,1,25.02706105640071,5
744,0,1,0,1,1,1,0,1,0,0,0,24.99652400034768,6
743,0,1,0,1,1,1,0,0,1,1,1,22.91666666666668,1
742,0,1,0,1,1,1,0,0,1,1,0,25.02672378154308,5
741,0,1,0,1,1,1,0,0,1,0,1,25.02672378154308,5
740,0,1,0,1,1,1,0,0,1,0,0,24.996853854549506,6
739,0,1,0,1,1,1,0,0,0,1,1,25.02668483484959,5
738,0,1,0,1,1,1,0,0,0,1,0,24.996944042885485,6
737,0,1,0,1,1,1,0,0,0,0,1,24.996944042885485,6
736,0,1,0,1,1,1,0,0,0,0,0,23.91666666666668,11
735,0,1,0,1,1,0,1,1,1,1,1,20.16666666666668,1
734,0,1,0,1,1,0,1,1,1,1,0,22.91666666666668,1
733,0,1,0,1,1,0,1,1,1,0,1,22.91666666666668,1
732,0,1,0,1,1,0,1,1,1,0,0,25.010131939119034,5
731,0,1,0,1,1,0,1,1,0,1,1,22.91666666666668,1
730,0,1,0,1,1,0,1,1,0,1,0,25.010038051981255,5
729,0,1,0,1,1,0,1,1,0,0,1,25.010038051981255,5
728,0,1,0,1,1,0,1,1,0,0,0,24.990150567117233,6
727,0,1,0,1,1,0,1,0,1,1,1,22.91666666666668,1
726,0,1,0,1,1,0,1,0,1,1,0,25.00720517288066,3
725,0,1,0,1,1,0,1,0,1,0,1,25.00720517288066,3
724,0,1,0,1,1,0,1,0,1,0,0,24.99049450492782,6
723,0,1,0,1,1,0,1,0,0,1,1,25.00682977171185,3
722,0,1,0,1,1,0,1,0,0,1,0,24.990661955161652,6
721,0,1,0,1,1,0,1,0,0,0,1,24.990661955161652,6
720,0,1,0,1,1,0,1,0,0,0,0,23.91666666666668,11
719,0,1,0,1,1,0,0,1,1,1,1,22.91666666666668,1
718,0,1,0,1,1,0,0,1,1,1,0,24.981838197994414,3
717,0,1,0,1,1,0,0,1,1,0,1,24.981838197994414,3
716,0,1,0,1,1,0,0,1,1,0,0,24.99027156000276,6
715,0,1,0,1,1,0,0,1,0,1,1,24.981786481524257,3
714,0,1,0,1,1,0,0,1,0,1,0,24.99059098431759,6
713,0,1,0,1,1,0,0,1,0,0,1,24.99059098431759,6
712,0,1,0,1,1,0,0,1,0,0,0,23.91666666666668,11
711,0,1,0,1,1,0,0,0,1,1,1,24.98177410820003,3
710,0,1,0,1,1,0,0,0,1,1,0,24.990893985691695,6
709,0,1,0,1,1,0,0,0,1,0,1,24.990893985691695,6
708,0,1,0,1,1,0,0,0,1,0,0,23.91666666666668,11
707,0,1,0,1,1,0,0,0,0,1,1,24.991069955725504,6
706,0,1,0,1,1,0,0,0,0,1,0,23.91666666666668,11
705,0,1,0,1,1,0,0,0,0,0,1,23.91666666666668,11
704,0,1,0,1,1,0,0,0,0,0,0,21.16666666666668,11
703,0,1,0,1,0,1,1,1,1,1,1,20.16666666666668,1
702,0,1,0,1,0,1,1,1,1,1,0,22.91666666666668,1
701,0,1,0,1,0,1,1,1,1,0,1,22.91666666666668,1
700,0,1,0,1,0,1,1,1,1,0,0,24.96966067028153,5
699,0,1,0,1,0,1,1,1,0,1,1,22.91666666666668,1
698,0,1,0,1,0,1,1,1,0,1,0,24.969785403768153,5
697,0,1,0,1,0,1,1,1,0,0,1,24.969785403768153,5
696,0,1,0,1,0,1,1,1,0,0,0,24.977058960864863,6
695,0,1,0,1,0,1,1,0,1,1,1,22.91666666666668,1
694,0,1,0,1,0,1,1,0,1,1,0,24.955536627558505,3
693,0,1,0,1,0,1,1,0,1,0,1,24.955536627558505,3
692,0,1,0,1,0,1,1,0,1,0,0,24.977193843433387,6
691,0,1,0,1,0,1,1,0,0,1,1,24.95531249393608,3
690,0,1,0,1,0,1,1,0,0,1,0,24.977200498012454,6
689,0,1,0,1,0,1,1,0,0,0,1,24.977200498012454,6
688,0,1,0,1,0,1,1,0,0,0,0,23.91666666666668,11
687,0,1,0,1,0,1,0,1,1,1,1,22.91666666666668,1
686,0,1,0,1,0,1,0,1,1,1,0,24.932946417692953,3
685,0,1,0,1,0,1,0,1,1,0,1,24.932946417692953,3
684,0,1,0,1,0,1,0,1,1,0,0,24.97723749208874,6
683,0,1,0,1,0,1,0,1,0,1,1,24.93299387373207,3
682,0,1,0,1,0,1,0,1,0,1,0,24.977396311727777,6
681,0,1,0,1,0,1,0,1,0,0,1,24.977396311727777,6
680,0,1,0,1,0,1,0,1,0,0,0,23.91666666666668,11
679,0,1,0,1,0,1,0,0,1,1,1,24.933406386619566,3
678,0,1,0,1,0,1,0,0,1,1,0,24.97753488166543,6
677,0,1,0,1,0,1,0,0,1,0,1,24.97753488166543,6
676,0,1,0,1,0,1,0,0,1,0,0,23.91666666666668,11
675,0,1,0,1,0,1,0,0,0,1,1,24.9775533704149,6
674,0,1,0,1,0,1,0,0,0,1,0,23.91666666666668,11
673,0,1,0,1,0,1,0,0,0,0,1,23.91666666666668,11
672,0,1,0,1,0,1,0,0,0,0,0,21.16666666666668,11
671,0,1,0,1,0,0,1,1,1,1,1,22.91666666666668,1
670,0,1,0,1,0,0,1,1,1,1,0,24.910810150357392,3
669,0,1,0,1,0,0,1,1,1,0,1,24.910810150357392,3
668,0,1,0,1,0,0,1,1,1,0,0,24.977227358010296,6
667,0,1,0,1,0,0,1,1,0,1,1,24.911113343740258,3
666,0,1,0,1,0,0,1,1,0,1,0,24.977340432807708,6
665,0,1,0,1,0,0,1,1,0,0,1,24.977340432807708,6
664,0,1,0,1,0,0,1,1,0,0,0,23.91666666666668,11
663,0,1,0,1,0,0,1,0,1,1,1,24.911649030673882,3
662,0,1,0,1,0,0,1,0,1,1,0,24.977469067078868,6
661,0,1,0,1,0,0,1,0,1,0,1,24.977469067078868,6
660,0,1,0,1,0,0,1,0,1,0,0,23.91666666666668,11
659,0,1,0,1,0,0,1,0,0,1,1,24.977445543887814,6
658,0,1,0,1,0,0,1,0,0,1,0,23.91666666666668,11
657,0,1,0,1,0,0,1,0,0,0,1,23.91666666666668,11
656,0,1,0,1,0,0,1,0,0,0,0,21.16666666666668,11
655,0,1,0,1,0,0,0,1,1,1,1,24.91235562543662,3
654,0,1,0,1,0,0,0,1,1,1,0,24.97749658558821,6
653,0,1,0,1,0,0,0,1,1,0,1,24.97749658558821,6
652,0,1,0,1,0,0,0,1,1,0,0,23.91666666666668,11
651,0,1,0,1,0,0,0,1,0,1,1,24.97762211911759,6
650,0,1,0,1,0,0,0,1,0,1,0,23.91666666666668,11
649,0,1,0,1,0,0,0,1,0,0,1,23.91666666666668,11
648,0,1,0,1,0,0,0,1,0,0,0,21.16666666666668,11
647,0,1,0,1,0,0,0,0,1,1,1,24.977569574147957,6
646,0,1,0,1,0,0,0,0,1,1,0,23.91666666666668,11
645,0,1,0,1,0,0,0,0,1,0,1,23.91666666666668,11
644,0,1,0,1,0,0,0,0,1,0,0,21.16666666666668,11
643,0,1,0,1,0,0,0,0,0,1,1,23.91666666666668,11
642,0,1,0,1,0,0,0,0,0,1,0,21.16666666666668,11
641,0,1,0,1,0,0,0,0,0,0,1,21.16666666666668,11
640,0,1,0,1,0,0,0,0,0,0,0,17.50000000000001,11
639,0,1,0,0,1,1,1,1,1,1,1,20.16666666666668,1
638,0,1,0,0,1,1,1,1,1,1,0,22.91666666666668,1
637,0,1,0,0,1,1,1,1,1,0,1,22.91666666666668,1
636,0,1,0,0,1,1,1,1,1,0,0,24.886164152645865,5
635,0,1,0,0,1,1,1,1,0,1,1,22.91666666666668,1
634,0,1,0,0,1,1,1,1,0,1,0,24.88585513373499,5
633,0,1,0,0,1,1,1,1,0,0,1,24.88585513373499,5
632,0,1,0,0,1,1,1,1,0,0,0,24.92317325830645,6
631,0,1,0,0,1,1,1,0,1,1,1,22.91666666666668,1
630,0,1,0,0,1,1,1,0,1,1,0,24.885807925806997,5
629,0,1,0,0,1,1,1,0,1,0,1,24.885807925806997,5
628,0,1,0,0,1,1,1,0,1,0,0,24.92305627674995,6
627,0,1,0,0,1,1,1,0,0,1,1,24.88574688918709,5
626,0,1,0,0,1,1,1,0,0,1,0,24.923099559262592,6
625,0,1,0,0,1,1,1,0,0,0,1,24.923099559262592,6
624,0,1,0,0,1,1,1,0,0,0,0,23.91666666666668,11
623,0,1,0,0,1,1,0,1,1,1,1,22.91666666666668,1
622,0,1,0,0,1,1,0,1,1,1,0,24.88391004354459,3
621,0,1,0,0,1,1,0,1,1,0,1,24.88391004354459,3
620,0,1,0,0,1,1,0,1,1,0,0,24.922794492885668,6
619,0,1,0,0,1,1,0,1,0,1,1,24.884187363943088,3
618,0,1,0,0,1,1,0,1,0,1,0,24.9229731093992,6
617,0,1,0,0,1,1,0,1,0,0,1,24.9229731093992,6
616,0,1,0,0,1,1,0,1,0,0,0,23.91666666666668,11
615,0,1,0,0,1,1,0,0,1,1,1,24.88454834530998,3
614,0,1,0,0,1,1,0,0,1,1,0,24.922962668272998,6
613,0,1,0,0,1,1,0,0,1,0,1,24.922962668272998,6
612,0,1,0,0,1,1,0,0,1,0,0,23.91666666666668,11
611,0,1,0,0,1,1,0,0,0,1,1,24.9227013395173,6
610,0,1,0,0,1,1,0,0,0,1,0,23.91666666666668,11
609,0,1,0,0,1,1,0,0,0,0,1,23.91666666666668,11
608,0,1,0,0,1,1,0,0,0,0,0,21.16666666666668,11
607,0,1,0,0,1,0,1,1,1,1,1,22.91666666666668,1
606,0,1,0,0,1,0,1,1,1,1,0,24.86206572641008,3
605,0,1,0,0,1,0,1,1,1,0,1,24.86206572641008,3
604,0,1,0,0,1,0,1,1,1,0,0,24.92267665072371,6
603,0,1,0,0,1,0,1,1,0,1,1,24.862660508612706,3
602,0,1,0,0,1,0,1,1,0,1,0,24.922898276635575,6
601,0,1,0,0,1,0,1,1,0,0,1,24.922898276635575,6
600,0,1,0,0,1,0,1,1,0,0,0,23.91666666666668,11
599,0,1,0,0,1,0,1,0,1,1,1,24.863449152425485,3
598,0,1,0,0,1,0,1,0,1,1,0,24.923037200051656,6
597,0,1,0,0,1,0,1,0,1,0,1,24.923037200051656,6
596,0,1,0,0,1,0,1,0,1,0,0,23.91666666666668,11
595,0,1,0,0,1,0,1,0,0,1,1,24.922822478269136,6
594,0,1,0,0,1,0,1,0,0,1,0,23.91666666666668,11
593,0,1,0,0,1,0,1,0,0,0,1,23.91666666666668,11
592,0,1,0,0,1,0,1,0,0,0,0,21.16666666666668,11
591,0,1,0,0,1,0,0,1,1,1,1,24.8598580422701,5
590,0,1,0,0,1,0,0,1,1,1,0,24.9233323209842,6
589,0,1,0,0,1,0,0,1,1,0,1,24.9233323209842,6
588,0,1,0,0,1,0,0,1,1,0,0,23.91666666666668,11
587,0,1,0,0,1,0,0,1,0,1,1,24.923249921737323,6
586,0,1,0,0,1,0,0,1,0,1,0,23.91666666666668,11
585,0,1,0,0,1,0,0,1,0,0,1,23.91666666666668,11
584,0,1,0,0,1,0,0,1,0,0,0,21.16666666666668,11
583,0,1,0,0,1,0,0,0,1,1,1,24.923317242745963,6
582,0,1,0,0,1,0,0,0,1,1,0,23.91666666666668,11
581,0,1,0,0,1,0,0,0,1,0,1,23.91666666666668,11
580,0,1,0,0,1,0,0,0,1,0,0,21.16666666666668,11
579,0,1,0,0,1,0,0,0,0,1,1,23.91666666666668,11
578,0,1,0,0,1,0,0,0,0,1,0,21.16666666666668,11
577,0,1,0,0,1,0,0,0,0,0,1,21.16666666666668,11
576,0,1,0,0,1,0,0,0,0,0,0,17.50000000000001,11
575,0,1,0,0,0,1,1,1,1,1,1,22.91666666666668,1
574,0,1,0,0,0,1,1,1,1,1,0,24.826481710581973,5
573,0,1,0,0,0,1,1,1,1,0,1,24.826481710581973,5
572,0,1,0,0,0,1,1,1,1,0,0,24.899320445998892,6
571,0,1,0,0,0,1,1,1,0,1,1,24.826183590634685,5
570,0,1,0,0,0,1,1,1,0,1,0,24.899735074640947,6
569,0,1,0,0,0,1,1,1,0,0,1,24.899735074640947,6
568,0,1,0,0,0,1,1,1,0,0,0,23.91666666666668,11
567,0,1,0,0,0,1,1,0,1,1,1,24.825697174897876,5
566,0,1,0,0,0,1,1,0,1,1,0,24.900123104834865,6
565,0,1,0,0,0,1,1,0,1,0,1,24.900123104834865,6
564,0,1,0,0,0,1,1,0,1,0,0,23.91666666666668,11
563,0,1,0,0,0,1,1,0,0,1,1,24.90010775602192,6
562,0,1,0,0,0,1,1,0,0,1,0,23.91666666666668,11
561,0,1,0,0,0,1,1,0,0,0,1,23.91666666666668,11
560,0,1,0,0,0,1,1,0,0,0,0,21.16666666666668,11
559,0,1,0,0,0,1,0,1,1,1,1,24.813613076353306,5
558,0,1,0,0,0,1,0,1,1,1,0,24.900275037678036,6
557,0,1,0,0,0,1,0,1,1,0,1,24.900275037678036,6
556,0,1,0,0,0,1,0,1,1,0,0,23.91666666666668,11
555,0,1,0,0,0,1,0,1,0,1,1,24.900387231336968,6
554,0,1,0,0,0,1,0,1,0,1,0,23.91666666666668,11
553,0,1,0,0,0,1,0,1,0,0,1,23.91666666666668,11
552,0,1,0,0,0,1,0,1,0,0,0,21.16666666666668,11
551,0,1,0,0,0,1,0,0,1,1,1,24.90057877996089,6
550,0,1,0,0,0,1,0,0,1,1,0,23.91666666666668,11
549,0,1,0,0,0,1,0,0,1,0,1,23.91666666666668,11
548,0,1,0,0,0,1,0,0,1,0,0,21.16666666666668,11
547,0,1,0,0,0,1,0,0,0,1,1,23.91666666666668,11
546,0,1,0,0,0,1,0,0,0,1,0,21.16666666666668,11
545,0,1,0,0,0,1,0,0,0,0,1,21.16666666666668,11
544,0,1,0,0,0,1,0,0,0,0,0,17.50000000000001,11
543,0,1,0,0,0,0,1,1,1,1,1,24.76797107930685,5
542,0,1,0,0,0,0,1,1,1,1,0,24.889265642132486,6
541,0,1,0,0,0,0,1,1,1,0,1,24.889265642132486,6
540,0,1,0,0,0,0,1,1,1,0,0,23.91666666666668,11
539,0,1,0,0,0,0,1,1,0,1,1,24.889306860553237,6
538,0,1,0,0,0,0,1,1,0,1,0,23.91666666666668,11
537,0,1,0,0,0,0,1,1,0,0,1,23.91666666666668,11
536,0,1,0,0,0,0,1,1,0,0,0,21.16666666666668,11
535,0,1,0,0,0,0,1,0,1,1,1,24.88961558891883,6
534,0,1,0,0,0,0,1,0,1,1,0,23.91666666666668,11
533,0,1,0,0,0,0,1,0,1,0,1,23.91666666666668,11
532,0,1,0,0,0,0,1,0,1,0,0,21.16666666666668,11
531,0,1,0,0,0,0,1,0,0,1,1,23.91666666666668,11
530,0,1,0,0,0,0,1,0,0,1,0,21.16666666666668,11
529,0,1,0,0,0,0,1,0,0,0,1,21.16666666666668,11
528,0,1,0,0,0,0,1,0,0,0,0,17.50000000000001,11
527,0,1,0,0,0,0,0,1,1,1,1,24.890260902287906,6
526,0,1,0,0,0,0,0,1,1,1,0,23.91666666666668,11
525,0,1,0,0,0,0,0,1,1,0,1,23.91666666666668,11
524,0,1,0,0,0,0,0,1,1,0,0,21.16666666666668,11
523,0,1,0,0,0,0,0,1,0,1,1,23.91666666666668,11
522,0,1,0,0,0,0,0,1,0,1,0,21.16666666666668,11
521,0,1,0,0,0,0,0,1,0,0,1,21.16666666666668,11
520,0,1,0,0,0,0,0,1,0,0,0,17.50000000000001,11
519,0,1,0,0,0,0,0,0,1,1,1,23.91666666666668,11
518,0,1,0,0,0,0,0,0,1,1,0,21.16666666666668,11
517,0,1,0,0,0,0,0,0,1,0,1,21.16666666666668,11
516,0,1,0,0,0,0,0,0,1,0,0,17.50000000000001,11
515,0,1,0,0,0,0,0,0,0,1,1,21.16666666666668,11
514,0,1,0,0,0,0,0,0,0,1,0,17.50000000000001,11
513,0,1,0,0,0,0,0,0,0,0,1,17.50000000000001,11
512,0,1,0,0,0,0,0,0,0,0,0,12.000000000000009,11
511,0,0,1,1,1,1,1,1,1,1,1,16.50000000000001,1
510,0,0,1,1,1,1,1,1,1,1,0,20.16666666666668,1
509,0,0,1,1,1,1,1,1,1,0,1,20.16666666666668,1
508,0,0,1,1,1,1,1,1,1,0,0,22.91666666666668,1
507,0,0,1,1,1,1,1,1,0,1,1,20.16666666666668,1
506,0,0,1,1,1,1,1,1,0,1,0,22.91666666666668,1
505,0,0,1,1,1,1,1,1,0,0,1,22.91666666666668,1
504,0,0,1,1,1,1,1,1,0,0,0,24.740671278543417,5
503,0,0,1,1,1,1,1,0,1,1,1,20.16666666666668,1
502,0,0,1,1,1,1,1,0,1,1,0,22.91666666666668,1
501,0,0,1,1,1,1,1,0,1,0,1,22.91666666666668,1
500,0,0,1,1,1,1,1,0,1,0,0,24.740263639206777,5
499,0,0,1,1,1,1,1,0,0,1,1,22.91666666666668,1
498,0,0,1,1,1,1,1,0,0,1,0,24.740091823358604,5
497,0,0,1,1,1,1,1,0,0,0,1,24.740091823358604,5
496,0,0,1,1,1,1,1,0,0,0,0,24.68630691136521,6
495,0,0,1,1,1,1,0,1,1,1,1,20.16666666666668,1
494,0,0,1,1,1,1,0,1,1,1,0,22.91666666666668,1
493,0,0,1,1,1,1,0,1,1,0,1,22.91666666666668,1
492,0,0,1,1,1,1,0,1,1,0,0,24.734273222112645,5
491,0,0,1,1,1,1,0,1,0,1,1,22.91666666666668,1
490,0,0,1,1,1,1,0,1,0,1,0,24.734036137692808,5
489,0,0,1,1,1,1,0,1,0,0,1,24.734036137692808,5
488,0,0,1,1,1,1,0,1,0,0,0,24.685660156901832,6
487,0,0,1,1,1,1,0,0,1,1,1,22.91666666666668,1
486,0,0,1,1,1,1,0,0,1,1,0,24.733731491057988,5
485,0,0,1,1,1,1,0,0,1,0,1,24.733731491057988,5
484,0,0,1,1,1,1,0,0,1,0,0,24.685352846170396,6
483,0,0,1,1,1,1,0,0,0,1,1,24.733705037659945,5
482,0,0,1,1,1,1,0,0,0,1,0,24.6853052136526,6
481,0,0,1,1,1,1,0,0,0,0,1,24.6853052136526,6
480,0,0,1,1,1,1,0,0,0,0,0,23.91666666666668,11
479,0,0,1,1,1,0,1,1,1,1,1,20.16666666666668,1
478,0,0,1,1,1,0,1,1,1,1,0,22.91666666666668,1
477,0,0,1,1,1,0,1,1,1,0,1,22.91666666666668,1
476,0,0,1,1,1,0,1,1,1,0,0,24.721730959753735,5
475,0,0,1,1,1,0,1,1,0,1,1,22.91666666666668,1
474,0,0,1,1,1,0,1,1,0,1,0,24.721532224905985,5
473,0,0,1,1,1,0,1,1,0,0,1,24.721532224905985,5
472,0,0,1,1,1,0,1,1,0,0,0,24.68064281135695,6
