,dynamic-RLS-opt,T[dynamic-RLS-opt],dynamic-RLS-drift,T[dynamic-RLS-drift],dynamic-(1+1){>0}-p-opt,T[dynamic-(1+1){>0}-p-opt],dynamic-(1+1){>0}-p-drift,T[dynamic-(1+1){>0}-p-drift],dynamic-(1+1)-p-drift,T[dynamic-(1+1)-p-drift],dynamic-(1+1)-Baeck,T[dynamic-(1+1)-Baeck],static-RLS-1,T[static-RLS-1],static-(1+1)-1/n,T[static-(1+1)-1/n],old-1+1{>0},T[old-1+1{>0}]
2396,85,36635.08297228871,81,36635.094391211765,0.01907365403560613,36719.06467164348,0.018379888298899055,,0.018379888298899055,91469.22074588026,0.003401360544217687,91575.38483933442,1,37030.71988128693,0.00022222222222222223,93937.27312969514,0.00022222222222222223,59383.521673539566
2395,85,36635.71114598626,83,36635.722493725225,0.01932487596266758,36719.697361848484,0.01861392649568945,,0.01861392649568945,91469.85360231966,0.003424657534246575,91576.28328984207,1,37032.85764850784,0.00022222222222222223,93940.54819616467,0.00022222222222222223,59385.592044268815
2394,87,36636.3349115396,83,36636.346697230576,0.019581191905704294,36720.325555808646,0.018852362057262415,,0.018852362057262415,91470.4819657888,0.0034482758620689655,91577.1773958596,1,37034.99440064459,0.00022222222222222223,93943.82098335748,0.00022222222222222223,59387.660974127226
2393,87,36636.9543276898,85,36636.96600994339,0.019842697165214702,36720.94925348045,0.019095305337820973,,0.019095305337820973,91471.10583632805,0.003472222222222222,91578.06715278211,1,37037.13013866072,0.00022222222222222223,93947.0914937326,0.00022222222222222223,59389.72846466934
2392,89,36637.56925752447,85,36637.58147916709,0.020109493085948914,36721.568454801374,0.01934287029759907,,0.01934287029759907,91471.72521395913,0.0034965034965034965,91578.95255591553,1,37039.2648635184,0.00022222222222222223,93950.35972974524,0.00022222222222222223,59391.79451744719
2391,91,36638.17989512365,87,36638.19200390518,0.020381691812178648,36722.183159689404,0.019595174551405775,,0.019595174551405775,91472.34009868604,0.0035211267605633804,91579.83360047564,1,37041.39857617843,0.00022222222222222223,93953.62569384708,0.00022222222222222223,59393.85913401061
2390,91,36638.78601254536,87,36638.79875119752,0.020659436508600283,36722.79336804242,0.019852041533471983,,0.019852041533471983,91472.95049127104,0.0035460992907801418,91580.7102815854,1,37043.531277600225,0.00022222222222222223,93956.88938848606,0.00022222222222222223,59395.922315907126
2389,93,36639.387762223996,89,36639.40049368924,0.020942930609171868,36723.3990797381,0.020115132875357412,,0.020115132881249876,91473.55638777027,0.0035714285714285713,91581.58259427424,1,37045.66296874186,0.00022222222222222223,93960.15081610654,0.00022222222222222223,59397.984064681994
2388,93,36639.98516311874,91,36639.997417306105,0.021232067240474623,36724.000294633224,0.02038030388816449,,0.020380303896174536,91474.15779887141,0.0035971223021582736,91582.45053347551,1,37047.79365056004,0.00022222222222222223,93963.40997914925,0.00022222222222222223,59400.04438187809
2387,95,36640.57804846104,91,36640.59123634086,0.021527145950997084,36724.59701256352,0.020653524517835642,,0.020653524517835642,91474.75471026398,0.0036231884057971015,91583.3140940249,1,37049.9233240101,0.00022222222222222223,93966.66688005129,0.00022222222222222223,59402.103269036124
2386,97,36641.16657230633,93,36641.17954009506,0.021827602355607368,36725.18923334401,0.020931822945740457,,0.020931822945740457,91475.34712907416,0.0036496350364963502,91584.1732706589,1,37052.05199004605,0.00022222222222222223,93969.92152124623,0.00022222222222222223,59404.16072769446
2385,97,36641.75073705266,93,36641.76452675262,0.022137424572191186,36725.77695676866,0.02121640724564098,,0.02121640724564098,91475.93505250213,0.003676470588235294,91585.02805801203,1,37054.17964962051,0.00022222222222222223,93973.17390516397,0.00022222222222222223,59406.216759389165
2384,99,36642.33038704158,95,36642.3441644929,0.02245060357682252,36726.36018259962,0.021503363690968787,,0.021503363690968787,91476.5184907233,0.003703703703703704,91585.8784506156,1,37056.30630368479,0.00022222222222222223,93976.42403423076,0.00022222222222222223,59408.27136565408
2383,101,36642.90564735772,97,36642.91918213188,0.022771903419586546,36726.93891059423,0.021801290031778015,,0.021801290031778015,91477.09742266372,0.0037313432835820895,91586.72444289524,1,37058.431953188796,0.00022222222222222223,93979.67191086932,0.00022222222222222223,59410.324548020704
2382,103,36643.47653513638,97,36643.491058875996,0.023097658025912626,36727.51314046585,0.022098890493596958,,0.022098890493596958,91477.67187629124,0.0037593984962406013,91587.56602916875,1,37060.55659908114,0.00022222222222222223,93982.91753749887,0.00022222222222222223,59412.376308018385
2381,103,36644.04298640043,99,36644.05741820151,0.023431834960840132,36728.08287192371,0.02240888124627203,,0.02240888124627203,91478.24182076089,0.003787878787878788,91588.40320364421,1,37062.68024230907,0.00022222222222222223,93986.16091653488,0.00022222222222222223,59414.42664717414
