,dynamic-RLS-opt,T[dynamic-RLS-opt],dynamic-RLS-drift,T[dynamic-RLS-drift],dynamic-(1+1){>0}-p-opt,T[dynamic-(1+1){>0}-p-opt],dynamic-(1+1){>0}-p-drift,T[dynamic-(1+1){>0}-p-drift],dynamic-(1+1)-p-opt,T[dynamic-(1+1)-p-opt],dynamic-(1+1)-p-drift,T[dynamic-(1+1)-p-drift],dynamic-(1+1)-Baeck,T[dynamic-(1+1)-Baeck],static-RLS-1,T[static-RLS-1],static-(1+1)-1/n,T[static-(1+1)-1/n],old-1+1{>0},T[old-1+1{>0}],dynamic-(1+1){>0}-p-drift-1/2n,T[dynamic-(1+1){>0}-p-drift-1/2n],dynamic-(1+1){>0}-p-drift-1/n,T[dynamic-(1+1){>0}-p-drift-1/n],dynamic-(1+1){>0}-p-opt-1/2n,T[dynamic-(1+1){>0}-p-opt-1/2n],dynamic-(1+1){>0}-p-opt-1/n,T[dynamic-(1+1){>0}-p-opt-1/n],old-1+1{>0}-1/2n,T[old-1+1{>0}-1/2n]
3045,1,23445.14053846309,1,23445.14053846309,8.16326530612245e-08,23448.360277704807,5.9608609865491405e-06,,0.00038971301087944933,61869.57716854793,0.000388749177169139,61869.74853637059,0.00038580246913580245,61869.65063295421,1,23445.14053846309,0.00028571428571428574,62019.89136990108,0.00028571428571428574,39207.30818545182,0.00014285714285714287,30064.35693470942,0.00028571428571428574,39207.30818545182,0.00014285714285714287,30064.35693470942,0.00028571428571428574,39207.30818545182,0.00014285714285714287,30064.35693470942
3044,1,23452.815977059574,1,23452.815977059574,8.16326530612245e-08,23456.036527113694,5.9608609865491405e-06,,0.00039003662766157036,61886.289043371275,0.00038901173883052435,61886.46046018237,0.0003861003861003861,61886.36322822039,1,23452.815977059574,0.00028571428571428574,62037.24813285813,0.00028571428571428574,39218.280664431186,0.00014285714285714287,30073.559518131548,0.00028571428571428574,39218.280664431186,0.00014285714285714287,30073.559518131548,0.00028571428571428574,39218.280664431186,0.00014285714285714287,30073.559518131548
3043,1,23460.47462038561,1,23460.47462038561,8.16326530612245e-08,23463.695978852604,5.9608609865491405e-06,,0.0003903608036113927,61902.9550344264,0.0003892757607657142,61903.12650584679,0.0003863987635239567,61903.02994563713,1,23460.47462038561,0.00028571428571428574,62054.560329295295,0.00028571428571428574,39229.22496965466,0.00014285714285714287,30082.740422425275,0.00028571428571428574,39229.22496965466,0.00014285714285714287,30082.740422425275,0.00028571428571428574,39229.22496965466,0.00014285714285714287,30082.740422425275
3042,1,23468.116541782983,1,23468.116541782983,8.16326530612245e-08,23471.338706273793,5.9608609865491405e-06,,0.00039068558186172465,61919.57534079474,0.0003895412319533468,61919.74687263156,0.0003866976024748647,61919.65098432569,1,23468.116541782983,0.00028571428571428574,62071.82815800533,0.00028571428571428574,39240.14122679367,0.00014285714285714287,30091.899742723443,0.00028571428571428574,39240.14122679367,0.00014285714285714287,30091.899742723443,0.00028571428571428574,39240.14122679367,0.00014285714285714287,30091.899742723443
3041,1,23475.741814114128,1,23475.741814114128,8.16326530612245e-08,23478.96478225011,5.9608609865491405e-06,,0.00039101096419329114,61936.150160253914,0.00038980814156318663,61936.32175848501,0.0003869969040247678,61936.22654210365,1,23475.741814114128,0.00028571428571428574,62089.05181647823,0.00028571428571428574,39251.0295606961,0.00014285714285714287,30101.037573536913,0.00028571428571428574,39251.0295606961,0.00014285714285714287,30101.037573536913,0.00028571428571428574,39251.0295606961,0.00014285714285714287,30101.037573536913
3040,1,23483.350509766293,1,23483.350509766293,8.16326530612245e-08,23486.57427917914,5.9608609865491405e-06,,0.00039133695239392625,61952.67968928896,0.00039007647894883426,61952.851360048335,0.0003872966692486445,61952.75681549627,1,23483.350509766293,0.00028571428571428574,62106.231500912596,0.00028571428571428574,39261.89009539342,0.00014285714285714287,30110.15400876001,0.00028571428571428574,39261.89009539342,0.00014285714285714287,30110.15400876001,0.00028571428571428574,39261.89009539342,0.00014285714285714287,30110.15400876001
3039,1,23490.942700655654,1,23490.942700655654,8.16326530612245e-08,23494.167268987345,5.9608609865491405e-06,,0.0003916635482592464,61969.164123103525,0.00039034623364321417,61969.3358726673,0.0003875968992248062,61969.24199974768,1,23490.942700655654,0.00028571428571428574,62123.367406226855,0.00028571428571428574,39272.72295410782,0.00014285714285714287,30119.24914167587,0.00028571428571428574,39272.72295410782,0.00014285714285714287,30119.24914167587,0.00028571428571428574,39272.72295410782,0.00014285714285714287,30119.24914167587
3038,1,23498.518458231403,1,23498.518458231403,8.16326530612245e-08,23501.743823134108,5.9608609865491405e-06,,0.00039199075359192947,61985.603655630985,0.0003906173953616713,61985.77549040411,0.0003878975950349108,61985.6822888319,1,23498.518458231403,0.00028571428571428574,62140.459726070214,0.00028571428571428574,39283.52825925914,0.00014285714285714287,30128.323064961674,0.00028571428571428574,39283.52825925914,0.00014285714285714287,30128.323064961674,0.00028571428571428574,39283.52825925914,0.00014285714285714287,30128.323064961674
3037,1,23506.077853479776,1,23506.077853479776,8.16326530612245e-08,23509.30401261582,5.9608609865491405e-06,,0.00039231857020129916,62001.99847954545,0.00039322085933406875,62002.1703461163,0.00038819875776397513,62002.07787546394,1,23506.077853479776,0.00028571428571428574,62157.5086528338,0.00028571428571428574,39294.306132471866,0.00014285714285714287,30137.375870693937,0.00028571428571428574,39294.306132471866,0.00014285714285714287,30137.375870693937,0.00028571428571428574,39294.306132471866,0.00014285714285714287,30137.375870693937
3036,1,23513.620956928044,1,23513.620956928044,8.16326530612245e-08,23516.847907969826,5.9608609865491405e-06,,0.00039264699990559557,62018.34878627257,0.00039355338666544217,62018.52068932396,0.0003885003885003885,62018.42895111056,1,23513.620956928044,0.00028571428571428574,62174.51437766146,0.00028571428571428574,39305.05669458198,0.00014285714285714287,30146.407650353693,0.00028571428571428574,39305.05669458198,0.00014285714285714287,30146.407650353693,0.00028571428571428574,39305.05669458198,0.00014285714285714287,30146.407650353693
