,Expected Time,k^*
133,2920.7771007616166,366
132,2918.8759816353268,367
131,2916.927592870533,368
130,2914.9313213971654,369
129,2912.886559444961,370
128,2910.7927049758123,371
127,2908.6491620667466,372
126,2906.4553412192636,373
125,2904.210659568349,374
124,2901.914540965487,375
123,2899.5664159158446,376
122,2897.165721363141,377
121,2894.711900339284,378
120,2892.20440153113,379
119,2889.6426788656045,380
118,2887.026191275499,381
117,2884.3544028776923,382
116,2881.6267838655476,383
115,2878.8428124749244,384
114,2876.0019784108863,385
113,2873.1037880993845,386
112,2870.147772032399,387
111,2867.133494289128,388
110,2864.0605640306317,389
109,2860.9286483895567,390
108,2857.7374857399077,391
107,2854.486897889855,392
106,2851.1767993725616,393
105,2847.8072018096414,394
104,2844.378211383557,395
103,2840.890017849865,396
102,2837.342874273117,397
101,2833.7370677379204,398
100,2830.072882547112,399
99,2826.350558675778,400
98,2822.570249259742,401
97,2818.7319814164093,402
96,2814.8356245423174,403
95,2810.8808693434335,404
94,2806.867219334541,405
93,2802.793994661931,406
92,2798.6603462496764,407
91,2794.4652768593073,408
90,2790.2076650055674,409
89,2785.8862879040066,410
88,2781.4998406057925,411
87,2777.0469498583307,412
86,2772.5261825885855,413
85,2767.936049882486,414
84,2763.2750077659816,415
83,2758.541456038774,416
82,2753.733736075924,417
81,2748.8501281231333,418
80,2743.8888483164146,419
79,2738.8480454944124,420
78,2733.725797807403,421
77,2728.520109109506,422
76,2723.2289051173234,423
75,2717.8500293165766,424
74,2712.3812385967094,425
73,2706.8201985913825,426
72,2701.1644787008786,427
71,2695.4115467699085,428
70,2689.558763391853,429
69,2683.603375807497,430
68,2677.5425113631572,431
67,2671.373170489441,432
66,2665.092219157854,433
65,2658.696380768005,434
64,2652.1822274130077,435
63,2645.5461704650174,436
62,2638.784450416408,437
61,2631.8931259048527,438
60,2624.8680618423145,439
59,2617.7049165587378,440
58,2610.3991278606536,441
57,2602.9458978928815,442
56,2595.34017667792,443
55,2587.576644191935,444
54,2579.6496908184017,445
53,2571.553395999965,446
52,2563.281504885458,447
51,2554.827402741833,448
50,2546.184086869301,449
49,2537.344135721488,450
48,2528.299674890068,451
47,2519.0423395639054,452
46,2509.563233014903,453
45,2499.8528805950646,454
44,2489.90117864942,455
43,2479.6973376553005,456
42,2469.229818786835,457
