,Binary Representation,Expected Time,k-opt
Expected Time General,NaN,18.216064453124993,All
1972,#011110110100,27.399999999999974,1
1971,#011110110011,24.999999999999975,1
1970,#011110110010,27.399999999999974,1
1969,#011110110001,27.399999999999974,1
1968,#011110110000,28.60138962865033,7
1967,#011110101111,21.999999999999975,1
1966,#011110101110,24.999999999999975,1
1965,#011110101101,24.999999999999975,1
1964,#011110101100,27.399999999999974,1
1963,#011110101011,24.999999999999975,1
1962,#011110101010,27.399999999999974,1
1961,#011110101001,27.399999999999974,1
1960,#011110101000,28.602104044147268,7
1959,#011110100111,24.999999999999975,1
1958,#011110100110,27.399999999999974,1
1957,#011110100101,27.399999999999974,1
1956,#011110100100,28.602411998155063,7
1955,#011110100011,27.399999999999974,1
1954,#011110100010,28.602478914749202,7
1953,#011110100001,28.602478914749202,7
1952,#011110100000,28.01721623927584,10
1951,#011110011111,21.999999999999975,1
1950,#011110011110,24.999999999999975,1
1949,#011110011101,24.999999999999975,1
1948,#011110011100,27.399999999999974,1
1947,#011110011011,24.999999999999975,1
1946,#011110011010,27.399999999999974,1
1945,#011110011001,27.399999999999974,1
1944,#011110011000,28.603478512147458,7
1943,#011110010111,24.999999999999975,1
1942,#011110010110,27.399999999999974,1
1941,#011110010101,27.399999999999974,1
1940,#011110010100,28.603792721329633,7
1939,#011110010011,27.399999999999974,1
1938,#011110010010,28.603861616463806,7
1937,#011110010001,28.603861616463806,7
1936,#011110010000,28.01752692211231,10
1935,#011110001111,24.999999999999975,1
1934,#011110001110,27.399999999999974,1
1933,#011110001101,27.399999999999974,1
1932,#011110001100,28.60456334203593,7
1931,#011110001011,27.399999999999974,1
1930,#011110001010,28.604634017229326,7
1929,#011110001001,28.604634017229326,7
1928,#011110001000,28.017491206957768,10
1927,#011110000111,27.399999999999974,1
1926,#011110000110,28.604972334195082,7
1925,#011110000101,28.604972334195082,7
1924,#011110000100,28.017493572022286,10
1923,#011110000011,28.605083916208237,7
1922,#011110000010,28.01750220245218,10
1921,#011110000001,28.01750220245218,10
1920,#011110000000,25.999999999999975,12
1919,#011101111111,17.99999999999998,1
1918,#011101111110,21.999999999999975,1
1917,#011101111101,21.999999999999975,1
1916,#011101111100,24.999999999999975,1
1915,#011101111011,21.999999999999975,1
1914,#011101111010,24.999999999999975,1
1913,#011101111001,24.999999999999975,1
1912,#011101111000,27.399999999999974,1
1911,#011101110111,21.999999999999975,1
1910,#011101110110,24.999999999999975,1
1909,#011101110101,24.999999999999975,1
1908,#011101110100,27.399999999999974,1
1907,#011101110011,24.999999999999975,1
1906,#011101110010,27.399999999999974,1
1905,#011101110001,27.399999999999974,1
1904,#011101110000,28.567554949662508,7
1903,#011101101111,21.999999999999975,1
1902,#011101101110,24.999999999999975,1
1901,#011101101101,24.999999999999975,1
1900,#011101101100,27.399999999999974,1
1899,#011101101011,24.999999999999975,1
1898,#011101101010,27.399999999999974,1
1897,#011101101001,27.399999999999974,1
1896,#011101101000,28.568143807914907,7
1895,#011101100111,24.999999999999975,1
1894,#011101100110,27.399999999999974,1
1893,#011101100101,27.399999999999974,1
1892,#011101100100,28.568478204402346,7
1891,#011101100011,27.399999999999974,1
1890,#011101100010,28.5685823223733,7
1889,#011101100001,28.5685823223733,7
1888,#011101100000,28.021621244095606,10
1887,#011101011111,21.999999999999975,1
1886,#011101011110,24.999999999999975,1
1885,#011101011101,24.999999999999975,1
1884,#011101011100,27.399999999999974,1
1883,#011101011011,24.999999999999975,1
1882,#011101011010,27.399999999999974,1
1881,#011101011001,27.399999999999974,1
1880,#011101011000,28.569119358510143,7
1879,#011101010111,24.999999999999975,1
1878,#011101010110,27.399999999999974,1
1877,#011101010101,27.399999999999974,1
1876,#011101010100,28.569458802817536,7
1875,#011101010011,27.399999999999974,1
1874,#011101010010,28.569564923851555,7
1873,#011101010001,28.569564923851555,7
1872,#011101010000,28.021995238444745,10
1871,#011101001111,24.999999999999975,1
1870,#011101001110,27.399999999999974,1
1869,#011101001101,27.399999999999974,1
1868,#011101001100,28.570024380441847,7
1867,#011101001011,27.399999999999974,1
1866,#011101001010,28.5701322883295,7
1865,#011101001001,28.5701322883295,7
1864,#011101001000,28.021984057993418,10
1863,#011101000111,27.399999999999974,1
1862,#011101000110,28.570484105158933,7
1861,#011101000101,28.570484105158933,7
1860,#011101000100,28.021979098596386,10
1859,#011101000011,28.5706324926252,7
1858,#011101000010,28.021979795189004,10
1857,#011101000001,28.021979795189004,10
1856,#011101000000,25.999999999999975,12
1855,#011100111111,21.999999999999975,1
1854,#011100111110,24.999999999999975,1
1853,#011100111101,24.999999999999975,1
1852,#011100111100,27.399999999999974,1
1851,#011100111011,24.999999999999975,1
1850,#011100111010,27.399999999999974,1
1849,#011100111001,27.399999999999974,1
1848,#011100111000,28.567997542425058,7
1847,#011100110111,24.999999999999975,1
1846,#011100110110,27.399999999999974,1
1845,#011100110101,27.399999999999974,1
1844,#011100110100,28.568345184567274,7
1843,#011100110011,27.399999999999974,1
1842,#011100110010,28.5684547392905,7
1841,#011100110001,28.5684547392905,7
1840,#011100110000,28.023346618313735,10
1839,#011100101111,24.999999999999975,1
1838,#011100101110,27.399999999999974,1
1837,#011100101101,27.399999999999974,1
1836,#011100101100,28.568919834293446,7
1835,#011100101011,27.399999999999974,1
1834,#011100101010,28.569031175335347,7
1833,#011100101001,28.569031175335347,7
1832,#011100101000,28.02332781200417,10
1831,#011100100111,27.399999999999974,1
1830,#011100100110,28.569384876692045,7
1829,#011100100101,28.569384876692045,7
1828,#011100100100,28.023319562270867,10
1827,#011100100011,28.56953667394478,7
1826,#011100100010,28.023319472629055,10
1825,#011100100001,28.023319472629055,10
1824,#011100100000,25.999999999999975,12
1823,#011100011111,24.999999999999975,1
1822,#011100011110,27.399999999999974,1
1821,#011100011101,27.399999999999974,1
1820,#011100011100,28.569607739599927,7
1819,#011100011011,27.399999999999974,1
1818,#011100011010,28.56972107560791,7
1817,#011100011001,28.56972107560791,7
1816,#011100011000,28.023507914287716,10
1815,#011100010111,27.399999999999974,1
1814,#011100010110,28.570075196755347,7
1813,#011100010101,28.570075196755347,7
1812,#011100010100,28.023497923307087,10
1811,#011100010011,28.570229031831975,7
1810,#011100010010,28.023497402087614,10
1809,#011100010001,28.023497402087614,10
1808,#011100010000,25.999999999999975,12
1807,#011100001111,27.399999999999974,1
1806,#011100001110,28.57055796486833,7
1805,#011100001101,28.57055796486833,7
1804,#011100001100,28.02343730009808,10
1803,#011100001011,28.5707136094903,7
1802,#011100001010,28.023436395239134,10
1801,#011100001001,28.023436395239134,10
1800,#011100001000,25.999999999999975,12
1799,#011100000111,28.570987082842503,7
1798,#011100000110,28.023403182311345,10
1797,#011100000101,28.023403182311345,10
1796,#011100000100,25.999999999999975,12
1795,#011100000011,28.02339373174248,10
1794,#011100000010,25.999999999999975,12
1793,#011100000001,25.999999999999975,12
1792,#011100000000,22.999999999999975,12
1791,#011011111111,17.99999999999998,1
1790,#011011111110,21.999999999999975,1
1789,#011011111101,21.999999999999975,1
1788,#011011111100,24.999999999999975,1
1787,#011011111011,21.999999999999975,1
1786,#011011111010,24.999999999999975,1
1785,#011011111001,24.999999999999975,1
1784,#011011111000,27.399999999999974,1
1783,#011011110111,21.999999999999975,1
1782,#011011110110,24.999999999999975,1
1781,#011011110101,24.999999999999975,1
1780,#011011110100,27.399999999999974,1
1779,#011011110011,24.999999999999975,1
1778,#011011110010,27.399999999999974,1
1777,#011011110001,27.399999999999974,1
1776,#011011110000,28.498395268559836,7
1775,#011011101111,21.999999999999975,1
1774,#011011101110,24.999999999999975,1
1773,#011011101101,24.999999999999975,1
1772,#011011101100,27.399999999999974,1
1771,#011011101011,24.999999999999975,1
1770,#011011101010,27.399999999999974,1
1769,#011011101001,27.399999999999974,1
1768,#011011101000,28.49896134681032,7
1767,#011011100111,24.999999999999975,1
1766,#011011100110,27.399999999999974,1
1765,#011011100101,27.399999999999974,1
1764,#011011100100,28.499209414582392,7
1763,#011011100011,27.399999999999974,1
1762,#011011100010,28.49927128432588,7
1761,#011011100001,28.49927128432588,7
1760,#011011100000,28.035662206825776,10
1759,#011011011111,21.999999999999975,1
1758,#011011011110,24.999999999999975,1
1757,#011011011101,24.999999999999975,1
1756,#011011011100,27.399999999999974,1
1755,#011011011011,24.999999999999975,1
1754,#011011011010,27.399999999999974,1
1753,#011011011001,27.399999999999974,1
1752,#011011011000,28.499833817616732,7
1751,#011011010111,24.999999999999975,1
1750,#011011010110,27.399999999999974,1
1749,#011011010101,27.399999999999974,1
1748,#011011010100,28.500084454871036,7
1747,#011011010011,27.399999999999974,1
1746,#011011010010,28.50014818985931,7
1745,#011011010001,28.50014818985931,7
1744,#011011010000,28.03601801751657,10
1743,#011011001111,24.999999999999975,1
1742,#011011001110,27.399999999999974,1
1741,#011011001101,27.399999999999974,1
1740,#011011001100,28.50057711716701,7
1739,#011011001011,27.399999999999974,1
1738,#011011001010,28.500642532252442,7
1737,#011011001001,28.500642532252442,7
1736,#011011001000,28.036002279526453,10
1735,#011011000111,27.399999999999974,1
1734,#011011000110,28.500884337451502,7
1733,#011011000101,28.500884337451502,7
1732,#011011000100,28.036012611404374,10
1731,#011011000011,28.500988560223906,7
1730,#011011000010,28.036022146461214,10
1729,#011011000001,28.036022146461214,10
1728,#011011000000,25.999999999999975,12
1727,#011010111111,21.999999999999975,1
1726,#011010111110,24.999999999999975,1
1725,#011010111101,24.999999999999975,1
1724,#011010111100,27.399999999999974,1
1723,#011010111011,24.999999999999975,1
1722,#011010111010,27.399999999999974,1
1721,#011010111001,27.399999999999974,1
1720,#011010111000,28.498643051075256,7
1719,#011010110111,24.999999999999975,1
1718,#011010110110,27.399999999999974,1
1717,#011010110101,27.399999999999974,1
1716,#011010110100,28.49889704803733,7
1715,#011010110011,27.399999999999974,1
1714,#011010110010,28.498964078836277,7
1713,#011010110001,28.498964078836277,7
1712,#011010110000,28.037434998184832,10
1711,#011010101111,24.999999999999975,1
1710,#011010101110,27.399999999999974,1
1709,#011010101101,27.399999999999974,1
1708,#011010101100,28.499384121680553,7
1707,#011010101011,27.399999999999974,1
1706,#011010101010,28.499452832208775,7
1705,#011010101001,28.499452832208775,7
1704,#011010101000,28.037412262488324,10
1703,#011010100111,27.399999999999974,1
1702,#011010100110,28.499692003289955,7
1701,#011010100101,28.499692003289955,7
1700,#011010100100,28.037419614207828,10
1699,#011010100011,28.499799500822736,7
1698,#011010100010,28.037428401833623,10
1697,#011010100001,28.037428401833623,10
1696,#011010100000,25.999999999999975,12
1695,#011010011111,24.999999999999975,1
1694,#011010011110,27.399999999999974,1
1693,#011010011101,27.399999999999974,1
1692,#011010011100,28.499932970844966,7
1691,#011010011011,27.399999999999974,1
1690,#011010011010,28.500003536513166,7
1689,#011010011001,28.500003536513166,7
1688,#011010011000,28.037603707142445,10
1687,#011010010111,27.399999999999974,1
1686,#011010010110,28.500240853194196,7
1685,#011010010101,28.500240853194196,7
1684,#011010010100,28.037609427262808,10
1683,#011010010011,28.50035024684749,7
1682,#011010010010,28.037617783009036,10
1681,#011010010001,28.037617783009036,10
1680,#011010010000,25.999999999999975,12
1679,#011010001111,27.399999999999974,1
1678,#011010001110,28.50058899308841,7
1677,#011010001101,28.50058899308841,7
1676,#011010001100,28.03754660933768,10
1675,#011010001011,28.500700088680254,7
1674,#011010001010,28.037554564552526,10
1673,#011010001001,28.037554564552526,10
1672,#011010001000,25.999999999999975,12
1671,#011010000111,28.500839670470164,7
1670,#011010000110,28.03753743956637,10
1669,#011010000101,28.03753743956637,10
1668,#011010000100,25.999999999999975,12
1667,#011010000011,28.03753642528323,10
1666,#011010000010,25.999999999999975,12
1665,#011010000001,25.999999999999975,12
1664,#011010000000,22.999999999999975,12
1663,#011001111111,21.999999999999975,1
1662,#011001111110,24.999999999999975,1
1661,#011001111101,24.999999999999975,1
1660,#011001111100,27.399999999999974,1
1659,#011001111011,24.999999999999975,1
1658,#011001111010,27.399999999999974,1
1657,#011001111001,27.399999999999974,1
1656,#011001111000,28.491209703189284,7
1655,#011001110111,24.999999999999975,1
1654,#011001110110,27.399999999999974,1
1653,#011001110101,27.399999999999974,1
1652,#011001110100,28.49144824126525,7
1651,#011001110011,27.399999999999974,1
1650,#011001110010,28.49146504894236,7
1649,#011001110001,28.49146504894236,7
1648,#011001110000,28.044166399575754,10
1647,#011001101111,24.999999999999975,1
1646,#011001101110,27.399999999999974,1
1645,#011001101101,27.399999999999974,1
1644,#011001101100,28.49193614178437,7
1643,#011001101011,27.399999999999974,1
1642,#011001101010,28.491954635751046,7
1641,#011001101001,28.491954635751046,7
1640,#011001101000,28.04415702918491,10
1639,#011001100111,27.399999999999974,1
1638,#011001100110,28.49216773199476,7
1637,#011001100101,28.49216773199476,7
1636,#011001100100,28.044159500315708,10
1635,#011001100011,28.492224612489903,7
1634,#011001100010,28.044165870736393,10
1633,#011001100001,28.044165870736393,10
1632,#011001100000,25.999999999999975,12
1631,#011001011111,24.999999999999975,1
1630,#011001011110,27.399999999999974,1
1629,#011001011101,27.399999999999974,1
1628,#011001011100,28.49280190848071,7
1627,#011001011011,27.399999999999974,1
1626,#011001011010,28.49282228575572,7
1625,#011001011001,28.49282228575572,7
1624,#011001011000,28.044384256951425,10
1623,#011001010111,27.399999999999974,1
1622,#011001010110,28.49303249121429,7
1621,#011001010101,28.49303249121429,7
1620,#011001010100,28.044385125823187,10
1619,#011001010011,28.493091295488878,7
1618,#011001010010,28.044391042284754,10
1617,#011001010001,28.044391042284754,10
1616,#011001010000,25.999999999999975,12
1615,#011001001111,27.399999999999974,1
1614,#011001001110,28.49330895675011,7
1613,#011001001101,28.49330895675011,7
